Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;BR;2003;p18p100;31182.357482;40367.7630013;6.61002588272;6.60921239853;6107.80224609;0.989721655;0.987126002;4717.43359375
;BR;2003;p19p100;31507.6465714;40789.0331746;6.37390947342;6.40021848679;6373.06884766;0.9878505781;0.9852637087;4943.22167969
;BR;2003;p20p100;31838.4904303;41217.8250235;6.20373153687;6.25278711319;6591.91259766;0.9858996885;0.9833296043;5132.15136719
;BR;2003;p21p100;32175.4593426;41654.891971;6.06756830215;6.13874435425;6785.57177734;0.9838799744;0.9813347092;5302.85888672
;BR;2003;p22p100;32518.8564927;42100.6728174;5.93244028091;6.02629375458;6986.16357422;0.9817934771;0.979281827;5481.53125
;BR;2003;p23p100;32868.6726058;42555.2226005;5.77524757385;5.89203691483;7222.49755859;0.9796324553;0.9771644257;5691.30126953
;BR;2003;p24p100;33224.633245;43018.2683358;5.58486557007;5.72371435165;7515.79589844;0.9773813823;0.9749684734;5949.04785156
;BR;2003;p25p100;33586.2737558;43489.2995413;5.3618144989;5.5203704834;7877.96728516;0.9750196338;0.972674952;6263.97509766
;BR;2003;p26p100;33953.0408984;43967.6912337;5.11650753021;5.2911863327;8309.609375;0.9725247678;0.9702629255;6635.97998047
;BR;2003;p27p100;34324.4268519;44452.8663725;4.866106987;5.05277299881;8797.71679688;0.9698764819;0.9677132471;7053.77587891
;BR;2003;p28p100;34700.1421973;44944.505886;4.63115739822;4.82596206665;9313.06640625;0.9670613471;0.9650129973;7492.7578125
;BR;2003;p29p100;35080.3355511;45442.8157549;4.4334859848;4.63359642029;9807.24511719;0.9640784201;0.962160754;7912.58544922
;BR;2003;p30p100;35465.8688627;45948.8622993;4.29658412933;4.50070285797;10209.2636719;0.9609458557;0.959172809;8254.43359375
;BR;2003;p31p100;35858.6091325;46464.9162816;4.24098539352;4.44848966599;10445.0996094;0.9577073165;0.9560889652;8455.25390625
;BR;2003;p32p100;36260.849129;46993.7360766;4.24430179596;4.45485258102;10548.8867188;0.9544147813;0.952956205;8543.41894531
;BR;2003;p33p100;36674.2784757;47537.3769934;4.2780251503;4.49153804779;10583.7636719;0.9511010371;0.9498041731;8572.71191406
;BR;2003;p34p100;37099.9787861;48097.1684053;4.32271909714;4.53821372986;10598.2597656;0.9477807224;0.9466457747;8582.55566406
;BR;2003;p35p100;37538.6255801;48673.911866;4.36784887314;4.58219861984;10622.3925781;0.9444565837;0.943482098;8594.3046875
;BR;2003;p36p100;37990.7437606;49268.1382891;4.40968084335;4.61712217331;10670.7460938;0.9411265907;0.9403081099;8615.3046875
;BR;2003;p37p100;38456.5991872;49880.0466493;4.43121814728;4.62800168991;10777.8798828;0.9377815832;0.9371119078;8678.56152344
;BR;2003;p38p100;38935.9084751;50509.2933562;4.41777896881;4.60397624969;10970.7978516;0.9343988087;0.9338713202;8813.45800781
;BR;2003;p39p100;39428.0826908;51155.2889977;4.36890792847;4.54765844345;11248.7089844;0.9309487388;0.9305601137;9024.70019531
;BR;2003;p40p100;39932.6623238;51817.6959535;4.30019807816;4.47621011734;11576.2431641;0.927405763;0.9271572632;9286.23828125
;BR;2003;p41p100;40449.779132;52496.9608309;4.23072385788;4.40950155258;11905.4179688;0.9237584847;0.9236559443;9560.95898438
;BR;2003;p42p100;40979.9329375;53194.0056077;4.16426515579;4.34932565689;12230.4033203;0.9200035669;0.9200570222;9840.85546875
;BR;2003;p43p100;41523.796854;53909.8601702;4.10422801971;4.29595661163;12548.9775391;0.9161407216;0.9163620964;10117.3222656
;BR;2003;p44p100;42082.2303072;54645.6601304;4.05276918411;4.24934005737;12859.7988281;0.9121726575;0.9125733035;10383.5742188
;BR;2003;p45p100;42656.2575636;55402.6382001;4.01083707809;4.20907592773;13162.6601562;0.9081042616;0.9086930183;10635.25
;BR;2003;p46p100;43247.0315445;56182.1094156;3.97814965248;4.17437839508;13458.7958984;0.9039415245;0.9047234706;10871.1425781
;BR;2003;p47p100;43855.7783582;56985.4483167;3.95307683945;4.14401912689;13751.2519531;0.8996901529;0.9006662623;11094.0869141
;BR;2003;p48p100;44483.7167102;57814.0556628;3.93242788315;4.11624717712;14045.3320312;0.8953538062;0.8965217619;11312.0234375
;BR;2003;p49p100;45131.944728;58669.311604;3.9111521244;4.08869886398;14349.1396484;0.8909318768;0.8922883538;11539.296875
;BR;2003;p50p100;45801.284661;59552.5113909;3.88204956055;4.05830764771;14674.2226562;0.8864167174;0.8879615104;11798.2226562
;BR;2003;p51p100;46492.1195493;60464.7979569;3.83857679367;4.0222659111;15032.5214844;0.8817910776;0.8835329329;12111.8115234
;BR;2003;p52p100;47204.6757351;61407.2824507;3.78426861763;3.98135566711;15423.7119141;0.8770342024;0.8789925046;12473.9228516
;BR;2003;p53p100;47939.4600896;62381.2362915;3.72483921051;3.93731498718;15843.5976562;0.8721300901;0.8743310294;12870.2089844
;BR;2003;p54p100;48697.3329962;63388.1384595;3.66514086723;3.89184045792;16287.4453125;0.8670682482;0.8695406421;13286.6201172
;BR;2003;p55p100;49479.5357512;64429.7108895;3.60903644562;3.8465616703;16749.9492188;0.8618434873;0.8646149734;13709.9023438
;BR;2003;p56p100;50287.7087597;65507.9593764;3.55937504768;3.80302882195;17225.2070312;0.8564554931;0.8595493249;14128.2412109
;BR;2003;p57p100;51123.8950812;66625.2207681;3.51799702644;3.76271390915;17706.6933594;0.8509081134;0.8543408505;14532.1025391
;BR;2003;p58p100;51990.5218575;67784.2173145;3.48571634293;3.72701764107;18187.2539062;0.8452082769;0.8489887437;14915.3046875
;BR;2003;p59p100;52890.3493532;68988.1191426;3.46222877502;3.69729161263;18659.0957031;0.8393644407;0.8434944269;15276.3876953
;BR;2003;p60p100;53826.3734831;70240.6159224;3.44590902328;3.6748611927;19113.8144531;0.8333844371;0.8378617385;15620.3701172
;BR;2003;p61p100;54801.6735747;71545.9648831;3.43387436867;3.66006588936;19547.7265625;0.8272727188;0.8320967162;15959.1376953
;BR;2003;p62p100;55819.3303333;72908.6944917;3.42360901833;3.64944839478;19978.0039062;0.8210289913;0.8262033935;16304.2363281
;BR;2003;p63p100;56882.4643062;74333.2566409;3.41304993629;3.63904047012;20426.609375;0.8146487608;0.8201795572;16666.1679688
;BR;2003;p64p100;57994.2580231;75824.005934;3.40045714378;3.62551593781;20913.9902344;0.8081235657;0.8140166389;17054.8417969
;BR;2003;p65p100;59157.9904384;77385.249171;3.38453054428;3.60642790794;21457.5898438;0.8014413233;0.8077003772;17478.9355469
;BR;2003;p66p100;60377.0998041;79021.3554023;3.36456465721;3.58052229881;22069.7851562;0.7945869704;0.8012120045;17944.9960938
;BR;2003;p67p100;61655.2896663;80736.9594918;3.34062099457;3.54808807373;22755.0605469;0.7875435094;0.7945301573;18456.2363281
;BR;2003;p68p100;62996.699382;82537.3073909;3.31372141838;3.51130580902;23506.1582031;0.7802936063;0.7876337751;19010.8613281
;BR;2003;p69p100;64406.1702602;84428.8134109;3.28605866432;3.47459983826;24298.859375;0.7728219415;0.7805063406;19599.8242188
;BR;2003;p70p100;65889.6525635;86419.9319797;3.26125407219;3.44509363174;25084.9296875;0.7651185765;0.7731419368;20203.7773438
;BR;2003;p71p100;67454.7219465;88522.2837802;3.24294447899;3.43011236191;25807.4003906;0.7571826055;0.765551944;20800.4550781
;BR;2003;p72p100;69110.2492903;90749.9691384;3.22911143303;3.42684602737;26482.0683594;0.7490154311;0.7577545859;21402.25
;BR;2003;p73p100;70865.6594469;93117.9498318;3.21634554863;3.42986321449;27149.1738281;0.7406105106;0.7497582026;22032.9746094
;BR;2003;p74p100;72730.8891506;95641.8834622;3.20154547691;3.43396043777;27851.7714844;0.7319518607;0.7415586823;22717.4316406
;BR;2003;p75p100;74716.4736666;98338.1824036;3.18211770058;3.43432307243;28633.9355469;0.7230139047;0.733138863;23480.109375
;BR;2003;p76p100;76833.7262506;101224.187792;3.15629601479;3.42695498466;29537.6464844;0.713761982;0.7244686526;24343.0039062
;BR;2003;p77p100;79095.0851534;104318.566124;3.12355279922;3.40937137604;30597.5957031;0.7041539311;0.7155063642;25322.1542969
;BR;2003;p78p100;81514.7554344;107642.117419;3.08509016037;3.38148403168;31832.8027344;0.694143378;0.706202042;26422.1640625
;BR;2003;p79p100;84109.8613711;111219.323255;3.04440069199;3.34662604332;33233.2695312;0.683685684;0.6965039744;27627.7246094
;BR;2003;p80p100;86902.4757838;115081.202904;3.00799274445;3.31273674965;34739.0117188;0.672748006;0.6863702394;28890.5195312
;BR;2003;p81p100;89922.7561182;119269.909911;2.98350048065;3.29014134407;36250.6953125;0.6613227829;0.6757850007;30140.0175781
;BR;2003;p82p100;93209.5148096;123840.015795;2.9699215889;3.27880191803;37769.8984375;0.6494160632;0.6647487967;31384.5039062
;BR;2003;p83p100;96808.8912155;128857.136665;2.96359539032;3.27538633347;39341.0507812;0.6370220152;0.653253062;32666.0273438
;BR;2003;p84p100;100775.554298;134400.111352;2.96058511734;3.27629876137;41021.9335938;0.6241161955;0.6412740519;34039.0664062
;BR;2003;p85p100;105174.647164;140564.438944;2.95662164688;3.27762818336;42886.0234375;0.6106503312;0.6287685033;35572.5742188
;BR;2003;p86p100;110084.440866;147467.042061;2.94727706909;3.27529001236;45024.1171875;0.5965464297;0.6156686799;37351.234375
;BR;2003;p87p100;115600.196386;155253.185239;2.92849755287;3.26550507545;47543.390625;0.5816908044;0.6018772493;39474.234375
;BR;2003;p88p100;121840.284354;164107.158908;2.89766669273;3.24578881264;50560.0234375;0.565929619;0.5872632564;42047.7226562
;BR;2003;p89p100;128956.903709;174270.073378;2.85539054871;3.21672844887;54176.1835938;0.5490697989;0.5716623039;45162.6132812
;BR;2003;p91p100;146743.857283;199994.59723;2.76933884621;3.16383647919;63212.6835938;0.5112022002;0.5367657902;52988.7695312
;BR;2003;p92p100;158176.297909;216760.065176;2.74209499359;3.15721344948;68655.5;0.4898032561;0.5171223591;57684.4726562
;BR;2003;p93p100;172154.206959;237476.781306;2.72727108002;3.16581130028;75012.9296875;0.4664509203;0.4957277721;63123.2460938
;BR;2003;p94p100;189801.588834;263933.864117;2.72573494911;3.19004631042;82736.6875;0.4407997791;0.472248321;69633.1796875
;BR;2003;p95p100;213053.055373;299227.629516;2.73832321167;3.22913813591;92664.859375;0.4123329539;0.446165261;77804.203125
;BR;2003;p96p100;245567.430742;349246.525523;2.764970541;3.27859711647;106523.15625;0.3802078085;0.4165970033;88813.7578125
;BR;2003;p97p100;295276.590737;426828.196921;2.80193734169;3.32384777069;128413.882812;0.3428787313;0.3818549393;105383.007812
;BR;2003;p98p100;383608.448734;566875.596787;2.83362793922;3.32699608803;170386.609375;0.2969671654;0.3380973862;135377.140625
;BR;2003;p0p90;13465.9826515;16584.5049014;;;0.0;0.4691058342;0.4451117681;0.0
;BR;2003;p0p99;20027.8000312;24595.2278873;;;0.0;0.7674652413;0.7261228466;0.0
;BR;2003;p99.1p100;643119.555681;988064.872374;2.83142256737;3.26931715012;302223.625;0.2240394507;0.2651868747;227136.546875
;BR;2003;p99.1p99.2;235793.946968;314487.687433;;;302223.625;0.0091268923;0.0093783773;227136.546875
;BR;2003;p99.2p100;694035.256939;1072262.02104;2.83244752884;3.27310752869;327597.5625;0.2149125585;0.2558084975;245030.21875
;BR;2003;p99.2p99.3;255631.730249;342708.47424;;;327597.5625;0.0098947547;0.010219953;245030.21875
;BR;2003;p99.3p100;756664.333132;1176483.95539;2.83351993561;3.27705693245;359006.25;0.205017804;0.2455885443;267040.40625
;BR;2003;p99.3p99.4;280398.12545;378180.123349;;;359006.25;0.0108533893;0.0112777576;267040.40625
;BR;2003;p99.4p100;836042.035099;1309534.59364;2.834649086;3.28119587898;399102.84375;0.1941644149;0.2343107866;294936.6875
;BR;2003;p99.4p99.5;312417.693471;424401.801832;;;399102.84375;0.0120927729;0.0126561401;294936.6875
;BR;2003;p99.5p100;940766.905811;1486561.15426;2.83584833145;3.28556513786;452452.1875;0.1820716425;0.2216546468;331740.90625
;BR;2003;p99.5p99.6;355862.069764;487705.389356;;;452452.1875;0.0137743773;0.0145439245;331740.90625
;BR;2003;p99.6p100;1086993.11438;1736275.09561;2.83713722229;3.29022669792;527706.8125;0.1682972651;0.2071107223;383130.25
;BR;2003;p99.6p99.7;419161.216255;581016.13651;;;527706.8125;0.0162245017;0.0173265561;383130.25
;BR;2003;p99.7p100;1309603.75487;2121361.42137;2.83854842186;3.29527902603;643757.75;0.1520727643;0.1897841667;461363.90625
;BR;2003;p99.7p99.8;522819.039155;736187.163147;;;643757.75;0.020236792;0.0219539311;461363.90625
;BR;2003;p99.8p100;1702996.10708;2813948.55926;2.84014153481;3.30090379715;852478.1875;0.1318359719;0.1678302362;599616.625
;BR;2003;p99.8p99.9;737346.280733;1064916.55175;;;852478.1875;0.0285405125;0.031757012;599616.625
;BR;2003;p99.91p100;2857254.93888;4911038.96018;2.84228682518;3.30828976631;1484464.625;0.0995363648;0.131807446;1005266.1875
;BR;2003;p99.91p99.92;1043809.57869;1545737.94107;;;1484464.625;0.0040402808;0.0046095648;1005266.1875
;BR;2003;p99.92p100;3083935.61007;5331701.59375;2.84251976013;3.30907344818;1611237.0;0.095496084;0.1271978814;1084930.25
;BR;2003;p99.92p99.93;1132128.91358;1686733.50599;;;1611237.0;0.0043821391;0.0050300295;1084930.25
;BR;2003;p99.93p100;3362765.13959;5852411.30983;2.84276342392;3.30988812447;1768159.875;0.091113945;0.1221678517;1182921.25
;BR;2003;p99.93p99.94;1242390.84547;1863955.7436;;;1768159.875;0.0048089307;0.0055585261;1182921.25
;BR;2003;p99.94p100;3716160.85671;6517153.9142;2.84301924706;3.31073927879;1968489.0;0.0863050143;0.1166093257;1307117.75
;BR;2003;p99.94p99.95;1384944.40071;2094886.5918;;;1968489.0;0.0053607137;0.006247188;1307117.75
;BR;2003;p99.95p100;4182404.14505;7401607.37114;2.84329080582;3.31163525581;2235031.0;0.0809443006;0.1103621377;1470973.0
;BR;2003;p99.95p99.96;1578362.22227;2411161.71388;;;2235031.0;0.0061093774;0.007190356;1470973.0
;BR;2003;p99.96p100;4833414.6248;8649218.79111;2.84358286858;3.31258845329;2611015.25;0.0748349232;0.1031717817;1699762.25
;BR;2003;p99.96p99.97;1860174.8093;2877357.23818;;;2611015.25;0.0072001913;0.0085806036;1699762.25
;BR;2003;p99.97p100;5824494.55011;10573172.6365;2.84390163422;3.31361746788;3190824.75;0.0676347318;0.094591178;2048064.625
;BR;2003;p99.97p99.98;2321667.83099;3652616.80965;;;3190824.75;0.0089864954;0.0108925151;2048064.625
;BR;2003;p99.98p100;7575907.96945;14033450.4964;2.84426140785;3.31475925446;4233626.0;0.0586482368;0.0836986626;2663576.5
;BR;2003;p99.98p99.99;3276759.62813;5295002.67342;;;4233626.0;0.0126833757;0.0157902949;2663576.5
;BR;2003;p99.991p100;12714758.27;24510854.8367;2.84474492073;3.31625151634;7391132.5;0.044293591;0.0657847189;4469560.0
;BR;2003;p99.991p99.992;4641157.98016;7697264.22194;;;7391132.5;0.0017964562;0.002295411;4469560.0
;BR;2003;p99.992p100;13723958.2892;26612553.6957;2.84479737282;3.31640934944;8024508.0;0.0424971348;0.063489308;4824230.5
;BR;2003;p99.992p99.993;5034362.69446;8401700.98167;;;8024508.0;0.0019486542;0.0025054819;4824230.5
;BR;2003;p99.993p100;14965329.0911;29214104.0328;2.84485220909;3.31657361984;8808520.0;0.0405484806;0.060983826;5260494.5
;BR;2003;p99.993p99.994;5525257.5185;9287132.13008;;;8808520.0;0.0021386652;0.0027695275;5260494.5
;BR;2003;p99.994p100;16538674.373;32535266.0796;2.84490990639;3.31674480438;9809397.0;0.0384098155;0.0582142986;5813426.5
;BR;2003;p99.994p99.995;6159916.75696;10440900.2115;;;9809397.0;0.0023843232;0.0031135941;5813426.5
;BR;2003;p99.995p100;18614425.8392;36954139.2404;2.84497094154;3.31692481041;11141084.0;0.0360254922;0.0551007045;6542923.0
;BR;2003;p99.995p99.996;7021028.3172;12021061.7442;;;11141084.0;0.0027176342;0.0035848161;6542923.0
;BR;2003;p99.996p100;21512775.2452;43187408.5839;2.84503674507;3.31711649895;13019563.0;0.0333078581;0.0515158883;7561510.5
;BR;2003;p99.996p99.997;8275679.93897;14350249.8698;;;13019563.0;0.0032032731;0.0042794063;7561510.5
;BR;2003;p99.997p100;25925140.3333;52799794.5646;2.84510850906;3.31732320786;15916385.0;0.030104585;0.0472364818;9112180.0
;BR;2003;p99.997p99.998;10330281.7996;18223574.6032;;;15916385.0;0.0039985492;0.0054344754;9112180.0
;BR;2003;p99.998p100;33722569.4093;70087904.9162;2.84518933296;3.31755232811;21126390.0;0.0261060357;0.0418020066;11852487.0
;BR;2003;p99.998p99.999;14582425.8533;26429198.5256;;;21126390.0;0.0056444295;0.0078814849;11852487.0
;BR;2003;p99.99p99.991;4317738.27459;7121290.15395;;;6867075.0;0.0016712699;0.002123649;4174457.5
;BR;2003;p99.9p99.91;971164.885085;1430454.58959;;;1379572.5;0.0037590945;0.0042657768;938981.9375
;BR;2003;p99p99.1;219476.906688;291413.30956;;;281229.09375;0.0084953075;0.0086902734;212248.171875
;BR;2002;p0p100;26980.9194585;33939.0477022;;;0.0;1.0;1.0;0.0
;BR;2002;p0p50;5895.66421014;7564.09587346;;;0.0;0.1092561767;0.1114364778;0.0
;BR;2002;p50p90;23460.538994;28380.4351451;;;14776.0429688;0.3478093329;0.3344871122;11951.5576172
;BR;2002;p90p99;90441.5393312;108359.588267;;;59045.3554688;0.3016904593;0.2873547673;50458.609375
;BR;2002;p99p100;650898.503841;905228.003283;2.8208296299;3.11041903496;291030.875;0.2412440039;0.2667216868;230747.1875
;BR;2002;p99.9p100;2856092.06946;4294237.99416;2.77988362312;3.07414627075;1396888.0;0.1058559946;0.126527946;1027414.25
;BR;2002;p99.99p100;12454035.2671;20281203.2235;2.77073502541;3.06661677361;6613543.5;0.0461586763;0.0597577263;4494849.0
;BR;2002;p99.999p100;54228381.022;95696456.8354;2.76864624023;3.06502747536;31222056.0;0.0200987891;0.0281965651;19586606.0
;BR;2002;p0p10;115.358757532;892.448246608;;;0.0;0.0004275568;0.0026295618;0.0
;BR;2002;p10p20;3647.7610502;4901.87213944;;;2594.63867188;0.0135197804;0.0144431635;1552.57250977
;BR;2002;p20p30;6609.90451558;8283.39252323;;;6628.66162109;0.0244984406;0.0244066734;5148.28759766
;BR;2002;p30p40;8425.15150474;10497.8343419;;;9701.57910156;0.0312263321;0.0309314346;7762.86279297
;BR;2002;p40p50;10680.1452226;13244.9321162;;;11827.7587891;0.039584067;0.0390256445;9490.09960938
;BR;2002;p50p60;13850.8842877;16949.0182834;;;14776.0429688;0.0513358498;0.0499395812;11951.5576172
;BR;2002;p60p70;17870.5478553;21942.8378309;;;19153.1621094;0.066234021;0.0646536639;15558.0712891
;BR;2002;p70p80;24383.0939813;29602.0992367;;;25295.5957031;0.0903716199;0.0872213608;20409.03125
;BR;2002;p80p90;37737.6298517;45027.7852296;;;34913.6835938;0.1398678422;0.1326725064;29304.8066406
;BR;2002;p90p100;146488.717245;188048.256904;2.90314602852;3.18481040001;59045.3554688;0.5429344892;0.5540764094;50458.609375
;BR;2002;p0p1;6.2309044546;38.3707790379;;;0.0;2.3094e-06;1.13058e-05;0.0
;BR;2002;p1p2;18.6927133639;123.732526386;;;78.3203277588;6.9281e-06;3.64573e-05;12.4618091583
;BR;2002;p2p3;31.1545222732;231.969749439;;;172.982803345;1.15469e-05;6.83489e-05;24.9236183167
;BR;2002;p3p4;43.6163311825;375.071905042;;;296.79876709;1.61656e-05;0.0001105134;37.3854255676
;BR;2002;p4p5;56.0781400918;563.146777395;;;460.878265381;2.07844e-05;0.0001659289;49.8472366333
;BR;2002;p5p6;68.5399490011;804.027150409;;;674.261413574;2.54031e-05;0.0002369033;62.3090438843
;BR;2002;p6p7;81.0017579104;1102.82436656;;;943.499328613;3.00219e-05;0.0003249426;74.7708511353
;BR;2002;p7p8;93.4635668197;1461.42425015;;;1272.17956543;3.46406e-05;0.0004306026;87.2326660156
;BR;2002;p8p9;105.925375729;1877.9222589;;;1660.39221191;3.92594e-05;0.000553322;99.6944732666
;BR;2002;p9p10;648.884314496;2345.99270275;;;2104.1328125;0.0002404975;0.000691237;112.156280518
;BR;2002;p10p11;1807.79693206;2853.87189816;;;2594.63867188;0.0006700279;0.0008408815;1552.57250977
;BR;2002;p11p12;2311.72644866;3381.66702609;;;3116.45458984;0.0008568005;0.0009963942;2062.10620117
;BR;2002;p12p13;2793.88920188;3906.14823167;;;3646.26708984;0.0010355056;0.0011509304;2557.66650391
;BR;2002;p13p14;3240.90833319;4407.24252912;;;4162.05761719;0.0012011853;0.0012985758;3024.19067383
;BR;2002;p14p15;3643.25532798;4869.3516662;;;4645.83984375;0.0013503081;0.0014347343;3450.10375977
;BR;2002;p15p16;3996.02395608;5282.30530905;;;5084.56298828;0.0014810555;0.0015564094;3828.05249023
;BR;2002;p16p17;4299.79624339;5642.42742387;;;5471.11474609;0.0015936433;0.0016625179;4155.72216797
;BR;2002;p17p18;4561.61146803;5953.73343751;;;5805.45410156;0.0016906805;0.0017542429;4436.75195312
;BR;2002;p18p19;4796.06330898;6229.27990774;;;6095.87744141;0.0017775759;0.0018354316;4681.76416016
;BR;2002;p19p20;5026.53928173;6492.693965;;;6360.45605469;0.0018629978;0.0019130454;4909.53027344
;BR;2002;p20p21;5283.91628407;6777.17844434;;;6628.66162109;0.00195839;0.0019968676;5148.28759766
;BR;2002;p21p22;5579.32724956;7097.98114206;;;6932.16162109;0.0020678788;0.0020913908;5426.29150391
;BR;2002;p22p23;5898.48160496;7445.01469583;;;7268.171875;0.0021861678;0.0021936428;5736.30419922
;BR;2002;p23p24;6225.55503045;7805.7899151;;;7624.14453125;0.0023073917;0.0022999437;6061.95654297
;BR;2002;p24p25;6546.07132016;8168.0451884;;;7987.67480469;0.0024261854;0.0024066807;6388.03076172
;BR;2002;p25p26;6847.3446339;8519.9369227;;;8346.67675781;0.002537847;0.0025103642;6700.8671875
